feature,feature_type,apply_stats
name,str,FALSE
position,str,FALSE
team,str,FALSE
xP,float,TRUE
assists,int,TRUE
bonus,int,TRUE
bps,int,TRUE
clean_sheets,int,TRUE
creativity,float,TRUE
element,int,TRUE
expected_assists,float,TRUE
expected_goal_involvements,float,TRUE
expected_goals,float,TRUE
expected_goals_conceded,float,TRUE
fixture,int,FALSE
goals_conceded,int,TRUE
goals_scored,int,TRUE
ict_index,float,TRUE
influence,float,TRUE
kickoff_time,str,FALSE
minutes,int,TRUE
opponent_team,int,FALSE
own_goals,int,TRUE
penalties_missed,int,TRUE
penalties_saved,int,TRUE
red_cards,int,TRUE
round,int,TRUE
saves,int,TRUE
selected,int,TRUE
starts,int,TRUE
team_a_score,int,TRUE
team_h_score,int,TRUE
threat,int,TRUE
total_points,int,FALSE
transfers_balance,int,FALSE
transfers_in,int,FALSE
transfers_out,int,FALSE
value,int,FALSE
was_home,bool,FALSE
yellow_cards,int,TRUE
GW,int,FALSE
